epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1908.56,1.32573,1.84467,1.3453,0.54642,0.38194,0.39465,0.261,1.28463,1.62649,1.29889,0.0700041,0.00333288,0.00333288
2,3613.39,1.38658,2.04055,1.39529,0.5499,0.39879,0.41162,0.27869,1.25578,1.49649,1.28451,0.0386841,0.00534631,0.00534631
3,5233.15,1.39129,2.01229,1.40225,0.55192,0.41577,0.42824,0.29113,1.22925,1.43075,1.27186,0.00604424,0.00603973,0.00603973
4,6820.17,1.35483,1.89482,1.37439,0.58204,0.43295,0.45343,0.31214,1.20107,1.35817,1.24536,0.00406,0.00406,0.00406
5,8381.97,1.29018,1.71626,1.32846,0.60434,0.44786,0.47362,0.32708,1.18416,1.31433,1.22908,0.00208,0.00208,0.00208
