epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1893.57,1.87364,1.07908,0.00091,0.658,0.35246,0.35551,0.12225,1.52203,1.92701,0.00091,0.00012862,0.00012862,0.00012862
43,1939.35,1.90729,1.11569,0.00094,0.6686,0.33443,0.32405,0.10169,1.53291,1.94765,0.00099,0.00012562,0.00012562,0.00012562
44,1985.36,1.86145,1.054,0.00095,0.67878,0.35334,0.35235,0.1188,1.50062,1.97575,0.00094,0.000122596,0.000122596,0.000122596
45,2031.2,1.87884,1.08356,0.00092,0.65248,0.35246,0.34423,0.1228,1.50595,1.98772,0.00094,0.000119551,0.000119551,0.000119551
46,2076.84,1.87258,1.06683,0.00092,0.61469,0.32787,0.30888,0.10271,1.50732,2.30463,0.00096,0.000116487,0.000116487,0.000116487
47,2122.02,1.87105,1.05497,0.00093,0.73062,0.32787,0.34039,0.12035,1.466,1.87378,0.00092,0.000113408,0.000113408,0.000113408
48,2167.64,1.84673,1.07971,0.00088,0.64242,0.32987,0.32144,0.10974,1.4608,2.06067,0.00095,0.000110317,0.000110317,0.000110317
49,2213.12,1.83895,1.06897,0.0009,0.64564,0.33443,0.33025,0.11394,1.50554,1.90096,0.00094,0.000107216,0.000107216,0.000107216
50,2259.04,1.84306,1.04405,0.00091,0.65322,0.34098,0.33081,0.11032,1.45518,1.91967,0.00093,0.00010411,0.00010411,0.00010411
51,2305.04,1.85347,1.03978,0.0009,0.63941,0.33279,0.32122,0.11358,1.49643,2.01174,0.00091,0.000101,0.000101,0.000101
52,2350.77,1.81498,1.0426,0.0009,0.65046,0.34168,0.32582,0.11272,1.5128,1.99901,0.00092,9.78903e-05,9.78903e-05,9.78903e-05
53,2396.3,1.7883,1.00212,0.00088,0.6491,0.32951,0.32226,0.10567,1.49406,1.97544,0.00094,9.47837e-05,9.47837e-05,9.47837e-05
54,2442.35,1.84772,1.06035,0.00091,0.65455,0.32787,0.32704,0.10893,1.49036,1.95339,0.00095,9.16833e-05,9.16833e-05,9.16833e-05
55,2488.44,1.82427,1.06458,0.00092,0.62906,0.33934,0.33244,0.11323,1.52881,2.00793,0.00094,8.8592e-05,8.8592e-05,8.8592e-05
56,2534.48,1.83297,1.04281,0.00091,0.6333,0.31311,0.3053,0.10366,1.50182,1.9626,0.00096,8.5513e-05,8.5513e-05,8.5513e-05
57,2580.81,1.83131,1.058,0.00086,0.62381,0.31639,0.29804,0.10104,1.49956,1.98127,0.00096,8.24492e-05,8.24492e-05,8.24492e-05
58,2626.87,1.8246,1.08338,0.00088,0.65434,0.32951,0.32443,0.10833,1.49036,1.9134,0.00094,7.94038e-05,7.94038e-05,7.94038e-05
59,2673.3,1.75133,0.99861,0.00086,0.63773,0.31148,0.30306,0.10478,1.48147,1.92317,0.00095,7.63797e-05,7.63797e-05,7.63797e-05
