epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1558.56,1.71483,2.85421,1.7122,0.3762,0.08699,0.07164,0.04094,1.77269,3.06554,1.8096,0.0700041,0.00333288,0.00333288
2,3048.86,1.66238,2.75027,1.69865,0.31891,0.20505,0.16772,0.10148,1.51313,2.23629,1.58408,0.0386841,0.00534631,0.00534631
3,4516.68,1.60706,2.5959,1.65865,0.35793,0.24671,0.21672,0.13413,1.42988,2.00741,1.5163,0.00604424,0.00603973,0.00603973
4,5974.8,1.54069,2.42239,1.6019,0.39356,0.27587,0.25464,0.16218,1.38162,1.88382,1.46886,0.00406,0.00406,0.00406
5,7432.27,1.46708,2.22725,1.54061,0.42185,0.30009,0.28801,0.18697,1.34824,1.78231,1.43359,0.00208,0.00208,0.00208
