epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
34,3852.58,1.93245,1.13653,0.001,0.59473,0.26557,0.26924,0.08958,1.30472,3.52121,0.00087,0.000151395,0.000151395,0.000151395,0.000756976,0.000756976,0.000756976
35,3928.05,1.95946,1.18253,0.00101,0.60216,0.27791,0.2785,0.0952,1.28086,3.28366,0.00083,0.000148694,0.000148694,0.000148694,0.000743468,0.000743468,0.000743468
36,4003.19,2.00016,1.1714,0.00102,0.61333,0.26557,0.26801,0.09108,1.2963,2.62619,0.00084,0.000145945,0.000145945,0.000145945,0.000729725,0.000729725,0.000729725
37,4080.36,1.96343,1.10875,0.001,0.6161,0.2459,0.24992,0.08141,1.29659,2.33031,0.00088,0.000143152,0.000143152,0.000143152,0.000715761,0.000715761,0.000715761
38,4155.95,1.96905,1.15552,0.00102,0.62232,0.26721,0.27663,0.09654,1.26985,2.69808,0.00084,0.000140318,0.000140318,0.000140318,0.000701588,0.000701588,0.000701588
39,4231.33,2.01696,1.10804,0.00102,0.65111,0.26557,0.28383,0.09515,1.30173,3.60032,0.00086,0.000137444,0.000137444,0.000137444,0.000687222,0.000687222,0.000687222
40,4308.81,1.92863,1.09404,0.00097,0.69853,0.26557,0.28372,0.10128,1.29593,2.89326,0.00085,0.000134535,0.000134535,0.000134535,0.000672675,0.000672675,0.000672675
41,4384.26,1.94559,1.06246,0.00098,0.64179,0.28525,0.285,0.10722,1.28137,2.23829,0.00088,0.000131593,0.000131593,0.000131593,0.000657963,0.000657963,0.000657963
42,4459.45,1.91188,1.08221,0.00095,0.6726,0.27049,0.28868,0.10503,1.29164,2.31766,0.0009,0.00012862,0.00012862,0.00012862,0.000643101,0.000643101,0.000643101
43,4537.02,1.96448,1.12717,0.001,0.50453,0.28852,0.26567,0.09251,1.30309,2.86732,0.0009,0.00012562,0.00012562,0.00012562,0.000628101,0.000628101,0.000628101
44,4612.71,1.92545,1.08992,0.00098,0.61771,0.27548,0.26894,0.08687,1.323,2.11778,0.00092,0.000122596,0.000122596,0.000122596,0.000612981,0.000612981,0.000612981
45,4688.56,1.90205,1.07292,0.00096,0.57942,0.26557,0.26698,0.08959,1.30044,1.90902,0.0009,0.000119551,0.000119551,0.000119551,0.000597754,0.000597754,0.000597754
46,4764.72,1.89277,1.06005,0.00096,0.65051,0.27767,0.28295,0.09888,1.29319,2.21407,0.00089,0.000116487,0.000116487,0.000116487,0.000582435,0.000582435,0.000582435
47,4839.99,1.87468,1.04347,0.00093,0.64571,0.28033,0.29109,0.10179,1.31214,1.92461,0.00091,0.000113408,0.000113408,0.000113408,0.00056704,0.00056704,0.00056704
48,4915.3,1.8914,1.11312,0.00096,0.71316,0.27541,0.28797,0.102,1.30211,2.20306,0.00089,0.000110317,0.000110317,0.000110317,0.000551584,0.000551584,0.000551584
49,4990.3,1.90838,1.05787,0.00097,0.71158,0.27869,0.29304,0.10503,1.30342,1.8862,0.0009,0.000107216,0.000107216,0.000107216,0.000536081,0.000536081,0.000536081
50,5065.24,1.8518,1.07399,0.00093,0.61122,0.32295,0.31456,0.10874,1.2636,1.68782,0.00087,0.00010411,0.00010411,0.00010411,0.000520548,0.000520548,0.000520548
51,5140.53,1.88905,1.02849,0.00095,0.62399,0.30164,0.29797,0.10115,1.27987,1.78398,0.00086,0.000101,0.000101,0.000101,0.000505,0.000505,0.000505
52,5216.6,1.90487,1.04829,0.00094,0.62866,0.27753,0.27468,0.09438,1.27106,1.90817,0.00087,9.78903e-05,9.78903e-05,9.78903e-05,0.000489452,0.000489452,0.000489452
53,5291.92,1.83014,1.05958,0.00092,0.62748,0.28361,0.28673,0.09848,1.27704,2.03299,0.00087,9.47837e-05,9.47837e-05,9.47837e-05,0.000473919,0.000473919,0.000473919
54,5367.05,1.7962,0.96501,0.00089,0.70622,0.28033,0.29802,0.10564,1.25156,1.81456,0.00085,9.16833e-05,9.16833e-05,9.16833e-05,0.000458416,0.000458416,0.000458416
55,5442.85,1.85938,1.01344,0.00092,0.66745,0.28033,0.28289,0.0982,1.2652,2.01315,0.00083,8.8592e-05,8.8592e-05,8.8592e-05,0.00044296,0.00044296,0.00044296
